dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
7,62.69,2023,1,1,1,1,0,33.0,None,Individual,None,1.0
24,10.7,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
28,1651.75,2023,1,1,1,1,0,58.0,None,Individual,None,1.0
29,70.42,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
29,70.42,2023,1,0,0,0,1,0.0,None,None,None,1.0
40,82.62,2022,1,1,1,1,0,85.0,None,Individual,None,0.9133
40,82.62,2023,1,1,0,0,1,0.0,None,None,None,1.0
44,197.88,2022,1,0,1,0,0,60.0,None,Individual,None,0.9277
44,197.88,2023,1,0,0,0,1,0.0,None,None,None,1.0
45,1594.09,2023,1,0,1,0,0,83.0,None,Individual,None,1.0
46,38.2,2023,2,1,2,1,0,39.0,None,Flex Plan,None,1.0
75,19.63,2023,1,0,1,0,0,25.0,None,Individual,None,1.0
101,98.42,2023,1,0,1,0,0,34.0,None,Individual,None,0.99
113,38.2,2022,2,0,2,0,0,46.67,None,Half Season,None,1.0
113,38.2,2023,2,0,0,0,1,0.0,None,None,None,1.0
114,1722.54,2022,1,0,1,0,0,80.0,None,Individual,None,1.0
114,1722.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
124,61.49,2022,13,13,0,0,1,0.0,None,None,None,1.0
124,61.49,2023,13,13,0,0,2,0.0,None,None,None,1.0
134,1.84,2022,1,0,1,0,0,30.0,None,Individual,None,0.993
134,1.84,2023,5,0,4,0,1,32.1,None,None,None,0.98
138,197.88,2022,2,1,2,1,0,29.67,None,Individual,None,1.0
138,197.88,2023,2,1,0,0,1,0.0,None,None,None,1.0
153,49.08,2022,1,1,1,1,0,75.0,None,Individual,None,1.0
153,49.08,2023,1,1,0,0,1,0.0,None,None,None,1.0
155,197.88,2023,1,0,1,0,0,38.0,None,Individual,None,1.0
184,1457.0,2022,1,0,1,0,0,55.0,None,Individual,None,0.97
184,1457.0,2023,1,0,0,0,1,0.0,None,None,None,1.0
186,5.68,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
186,5.68,2023,1,0,0,0,1,0.0,None,None,None,1.0
193,37.83,2022,13,13,0,0,1,0.0,None,None,None,0.858
